Original,Substitution
container,cerebrum
timeForm,hippocampus
dateInputs,wernicke
date-input-group,synapse
date-input,myelin
time-input,schwann
title-input,glial
button-group,cortex
addDate,axon
countdowns,medulla
helpButton,amygdala
helpModal,thalamus
modal-content,hypothalamus
close,meninges
shareButton,dendrite
dates,dopamine
timestamp,gaba
title,neuron
timeLeft,acetylcholine
countdownInterval,cortisol
base64EncodedDates,serotonin
formatTimeLeft,formatAcetylcholine
formatTimeForTitle,formatAcetylcholineForCerebellum
startCountdowns,startNeurotransmission
updateTitleWithCountdowns,updateCerebellumWithNeurotransmission
countdown,neurotransmitter
countdown-title,neuron
inputSection,broca
decodedDates,decodedDopamine
